ENGLISH,SPANISH,JAPANESE,INDONESIAN,KOREAN,POS
thing/one,otro,こと/もの/の,barang/benda,것,NOUN
game,juego,ゲーム,permainan,게임,NOUN
winter,invierno,冬,musim Dingin,겨울,NOUN
finally/after all,finalmente/al final/despues de todo,結局,akhirnya,결국,NOUN/ADV
decision | to decide,decisión; decidir,決定 | 決定する/決める,keputusan/memutuskan,결정 | 결정하다,NOUN | VERB
marriage | to marry,casamiento; casar,結婚 | 結婚する,pernikahan; menikah,결혼 | 결혼하다,NOUN | VERB
wedding ceremony,(ceremonia de) boda,結婚式,upacara pernikahan,결혼식,NOUN
game/match,partido/torneo,競技,pertandingan,경기,NOUN
case/scenario,caso/ocasión,場合,keadaan,경우,NOUN
police,policía,警察,polisi,경찰,NOUN
scenery,paisaje/vista,景色,pemandangan,경치,NOUN
experience,experiencia,経験,pengalaman,경험,NOUN
egg,huevo,卵,telur,계란,NOUN
continuously,continuamente,続けて/ずっと,terus-menerus,계속,ADV
to be (honorific of 있다),estar (palabra referida a un mayor),いらっしゃる,to be (sebutan penghormatan pada 있다) ,계시다,VERB
season,estación,季節,musim,계절,NOUN
plan,plan/proyecto,計画,rencana,계획,NOUN
meat; fish,carne,肉,daging; ikan,고기,NOUN
high school,secundaria,高校,sekolah menengah /lanjutan,고등학교,NOUN
high school student,estudiante secundario,高校生,siswa sekolah menengah atas,고등학생,NOUN
to be thankful,gracias,ありがとう,berterima kasih,고맙다,ADJ
cat,gato,猫,kucing,고양이,NOUN
pain,dolor/pena,苦痛,sakit,고통,NOUN
to be hungry,tener hambre,(腹が)すいている,lapar,고프다,ADJ
birthplace/hometown,(ciudad/país) natal,故郷/ふるさと,kampung halaman,고향,NOUN
right away; soon,pronto,すぐ,segera,곧,ADV
place/location,lugar/espacio,所,tempat/lokasi,곳,NOUN
ball,bola/pelota,球/ボール,bola,공,NOUN
study | to study,estudio; estudiar,勉強 | 勉強する,belajar,공부 | 공부하다,NOUN | VERB
park,parque,公園,taman,공원,NOUN
factory/plant,fábrica/planta,工場,pabrik,공장,NOUN
pay phone/public phone,teléfono público,公衆電話,telepon umum,공중전화,NOUN
notebook,cuaderno,ノート,laptop,공책,NOUN
airport,aeropuerto,空港,bandar udara,공항,NOUN
national holiday,feriado nacional,公休日/祝日,hari libur nasional ,공휴일,NOUN
lesson/chapter,lección/unidad,課,bab,과,NOUN
fruit,fruta,果物,buah ,과일,NOUN
cookie,galleta,お菓子,kue,과자,NOUN
relationship,relación,関係,hubungan,관계,NOUN
to be okay,aceptable,大丈夫だ,baik-baik saja ,괜찮다,ADJ
textbook,libro (de texto),教科書,buku pelajaran,교과서,NOUN
professor,profesor,教授,dosen,교수,NOUN
classroom,sala de clases/curso,教室,ruang kelas,교실,NOUN
traffic; transportation,transporte público,交通,lalu-lintas; kendaraan,교통,NOUN
church,iglesia,教会,gereja,교회,NOUN
sightseeing; looking around,mirar/explorar,見物,melihat-lihat,구경,NOUN
shoes,zapatos,靴,sepatu,구두,NOUN
clouds,nubes,雲,awan/mega,구름,NOUN
soldier/military personnel,soldado/militar,軍人,tentara/anggota militer,군인,NOUN
volume/book (unit of counting books),libro/tomo (unidad para contar libros),冊,jilid/buku (satuan untuk menghitung buku),권,NOUN
ear,oído ,耳,telinga,귀,NOUN
to be cute/to be lovely,lindo/tierno ,かわいい,manis/cantik,귀엽다,ADJ
the/that (modifier),ese,その,itu/itu (modifier) ,그,DET
he,él,彼/その人,dia (laki – laki),그,PRONOUN
it/that (pronoun),eso,それ,#NAME?,그것,PRONOUN
there,allí,そこ,disana,그곳,PRONOUN
that day,ese día,その日,hari itu,그날,NOUN
just,solo ,そのまま; ただ,hanya,그냥,ADV
as it is,como lo es,そのまま,seperti semula,그대로,ADV
meanwhile,durante,その間,sementara itu,그동안,NOUN
(at) that time/then,desde entonces,あの時/その時,saat itu,그때,NOUN
yes/OK,sí/está bien,そう; うん,iya/baik,그래,INT
but/still,pero,それでも,tetapi/masih,그래도,ADV
so/therefore,por lo tanto/asi que/por eso ,それで,jadi/oleh karena itu,그래서,ADV
so,asi que,だから,jadi,그러니까,ADV
and/if you do; well then,entonces ,それでは,dan/kalau begitu; lalu,그러면,ADV
such/like,tal/eso ,そんな,seperti,그런,DET
well/by the way; however,a propósito/pero,ところで,omong-omong,그런데,ADV
then,entonces ,それでは,lalu,그럼,ADV
yes/to be so,si/es cierto/es verdad,そうだ,Ya/benar,그렇다,ADJ
but/though,pero/a pesar de,だが/でも,bagaimanapun,그렇지만,ADV
group,grupo,グループ,kelompok,그룹,NOUN
bowl/container,vajilla/plato/molde,器; 杯,mangkuk,그릇,NOUN
and,y,そして,dan ,그리고,ADV
to draw/to paint,dibujar,描く,menggambar/melukis,그리다,VERB
picture/drawing/painting,dibujo,絵,foto/gambar/lukisan,그림,NOUN
to that extent only,basta/parar de...,その度で; それくらいに,,그만,ADV
he/she (honorific of 그 사람),él/ella (término superior a él o ella),その方,dia (perempuan) (sebutan kehormatan pada 그 사람),그분,PRONOUN
there/that way,por esa dirección/por ese lado,そちら/そっちの方,disana/kearah sana ,그쪽,PRONOUN
theater/cinema,cine,映画館,bioskop,극장,NOUN
neighborhood/vicinity,vecindad/cercanía,近く,linkungan tempat tinggal,근처,NOUN
writing,redacción,文/文章,menulis,글,NOUN
machine,máquina,機械,mesin,기계,NOUN
to wait ,esperar,待つ,menunggu,기다리다,VERB
to raise/to rear,criar,飼う/育てる,membesarkan,기르다,VERB
basics; basis,base,基本,dasar-dasar; dasar,기본,NOUN
feelings; mood,(de) humor/sensación,気持ち/気分,perasaan,기분,NOUN
dormitory,refugio,寮,asrama (mahasiswa),기숙사,NOUN
memory,recuerdo/memoria,記憶,kenangan,기억,NOUN
train,tren,汽車,kereta,기차,NOUN
opportunity/chance,oportunidad/chance,機会,kesempatan,기회,NOUN
street/road,camino/calle/ruta,道,jalan,길,NOUN
to be long,largo/extenso,長い,panjang/lama,길다,ADJ
gimbap (rice rolled in dried laver),gimbap (enrollado de arroz con alga),のり巻き,gimbap (nasi yang digulung dengan rumput laut kering),김밥,NOUN
kimchi,kimchi,キムチ,kimchi,김치,NOUN
to be deep,profundo,深い,dalam,깊다,ADJ
to peel/to cut; to cut down,pelar/cortar ,削る/切る/剥く,mengupas/,깎다,VERB
to be clean,limpio,きれいだ,bersih ,깨끗하다,ADJ
to pull/to take out,sacar/tomar ,取り出す,mnnarik/mengeluarkan ,꺼내다,VERB
surely/certainly/for sure,sin lugar a dudas/seguramente,必ず,pasti,꼭,ADV
flower,flor,花,bunga,꽃,NOUN
dream | to dream,sueño; soñar,夢 | 夢みる,mimpi/bermimpi,꿈 | 꿈꾸다,NOUN | VERB
to put out; to switch off,apagar,消す,mematikan,끄다,VERB
end,último/final,終り/お仕舞い,akhir/ujung,끝,NOUN
to end/to come to an end,terminar/finalizar/acabar,終わる,berakhir,끝나다,VERB
to finish/to put an end to,acabar/terminar/finalizar,終える,menyelesaikan,끝내다,VERB
I,yo,私,saya,나,PRONOUN
to go out,salir/pasear,出る,pergi keluar,나가다,VERB
to divide/to split; to share,dividir/compartir ,分ける,membagi/membelah;membagi,나누다,VERB
to grow; to happen,suceder,生える; 起こる,tumbuh; terjadi,나다,VERB
country/nation,país/nación,国,negara,나라,NOUN
tree; wood,árbol/madera,木,pohon; kayu,나무,NOUN
to be bad,malo,悪い,buruk ,나쁘다,ADJ
to come out,salir ,出る/出てくる,keluar,나오다,VERB
age,edad/año,年 (とし),umur,나이,NOUN
(-에) later,después (de)/luego,後,(-에)nanti,나중,NOUN
to appear,aparecer,現れる,muncul,나타나다,VERB
to show/to express,expresar/significar,現わす,menunjukkan,나타내다,VERB
day,día,日,hari,날,NOUN
fly,volar,飛ぶ,terbang,날다,VERB
weather,clima/tiempo,天気,cuaca,날씨,NOUN
date,fecha/día,日付,tanggal,날짜,NOUN
to leave,dejar,残す,meninggalkan,남기다,VERB
a man and a woman,hombre y mujer,男女,laki-laki dan wanita,남녀,NOUN
to remain/to be left,sobrar/ser dejado,残る,tersisa,남다,VERB
younger brother ,hermano menor,弟,adik laki-laki,남동생,NOUN
man/male,hombre/macho/masculino,男性,laki-laki/,남성,NOUN
man,hombre,男,pria,남자,NOUN
south,sur,南/南側,selatan,남쪽,NOUN
husband,marido,夫,ssuami,남편,NOUN
male student ,estudiante varón,男子学生,siswa laki-laki,남학생,NOUN
day; daytime,día/a la mañana,昼,hari; siang hari,낮,NOUN
to be low,bajo ,低い,rendah,낮다,ADJ
to give birth to/to bear,nacer/dar luz,生む,melahirkan,낳다,VERB
next year,próximo año,来年,tahun depan,내년,NOUN
to give/to hand in/to make,dar/entregar,出す,memberikan/menyerahkan/membuat,내다,VERB
to go down,bajar,下りる/下る,turun,내려가다,VERB
to come down,bajar/venir abajo ,下りてくる/降りる,turun ,내려오다,VERB
to fall; to get off,caer,降る/下りる,turun,내리다,VERB
tomorrow,mañana,明日,besok,내일,NOUN/ADV
smell/odor,olor,におい,bau/bau (busuk)  ,냄새,NOUN
naengmyeon (Korean cold noodle),negmion (fríos fideos coreanos),冷麺,naengmyeon (Mie-dingin Korea),냉면,NOUN
refrigerator,resfrigerador ,冷蔵庫,kulkas/lemari es,냉장고,NOUN
you,tú,お前,kamu/anda,너,PRONOUN
too ,demasiado/exesivo,とても/あまりに,terlalu,너무,ADV
to be large ,amplia,広い,besar ,넓다,ADJ
to put (sth in),poner en,入れる,meletakkan (sesuatu didalam),넣다,VERB
yes,sí,はい,ya,네,INT
necktie,corbata,ネクタイ,dasi,넥타이,NOUN
year,año,年 (ねん),tahun,년,NOUN
yellow (color),amarillo,黄色,kuning (warna),노란색,NOUN
song | to sing,canción; cantar,歌 | 歌う,lagu; menyanyi,노래 | 노래하다,NOUN | VERB
effort | to make an effort,esfuerzo/tratar,努力 | 努力する,usaha; berusaha,노력 | 노력하다,NOUN | VERB
notebook,libro de notas/cuaderno,ノート,catatan,노트,NOUN
to play,jugar,遊ぶ,bermain,놀다,VERB
to be surprised ,sorprender,驚く,terkejut,놀라다,VERB
play/game,juego/,遊び,permainan,놀이,NOUN
joke | to kid/to joke,broma/bromear,冗談 | 冗談言う,lelucon; bercanda/melucu,농담 | 농담하다,NOUN | VERB
to be high,alto,高い,tinggi,높다,ADJ
to lay/to put,poner/sobreponer,置く,meletakkan,놓다,VERB
who,quién,誰,siapa,누구,PRONOUN
boy's older sister,hermana mayor,姉,kakak perempuan,누나,NOUN
eye,ojo,目/眼,mata,눈,NOUN
snow,nieve,雪,salju,눈,NOUN
tear,lágrima,涙,air mata,눈물,NOUN
to lie,acostar,横になる,berbaring,눕다,VERB
news,noticias,ニュース,berita,뉴스,NOUN
feeling | to feel,sentimiento/sentir,感じ | 感じる,perasaan; merasa,느낌 | 느끼다,NOUN | VERB
always/all the time,siempre/constantemente,いつも/常に,selalu/setiap waktu,늘,ADV
to stretch; to grow/to increase,estirar/alargar,伸びる; 増える,merobek; tumbuh/meningkatkan ,늘어나다,VERB
ability,capacidad/abilidad,能力,kemampuan,능력,NOUN
to be late ,atrasar/llegar tarde,遅れる; 遲い,terlambat,늦다,VERB/ADJ
all; almost,casi,すべて/全部/皆; ほとんど,semua; hampir,다,NOUN/ADV
to go and get back,ir y volver,行って来る,pergi dan kembali,다녀오다,VERB
to go,ir,通う,pergi,다니다,VERB
to be different ,ser diferente/distinto,違う,berbeda,다르다,ADJ
leg,pierna,足,kaki,다리,NOUN
bridge,puente,橋,jembatan,다리,NOUN
again,otra vez/nuevamente,再び/又,lagi,다시,ADV
to be various ,(ser) vario/diferente/amplio,多様だ,bermacam-macam,다양하다,ADJ
next,siguiente,次の,selanjutnya,다음,NOUN
to hurt/to be wounded,lastimar,傷付く/けがをする,terluka,다치다,VERB
to clean/to wash,limpiar/ordenar,磨く,membersihkan/mencuci,닦다,VERB
word,palabra,単語,kata,단어,NOUN
to close,cerrar,閉める,menutup,닫다,VERB
the moon; month,luna,月 (げつ); 月 (つき),bulan; bulan,달,NOUN
to be sweet,dulce,甘い,manis,달다,ADJ
to change/to alter,(ser) cambiado/alterado,変わる,merubah,달라지다,VERB
dollar,dollar,ドル,dollar,달러,NOUN
calendar,calendario,カレンダー,kalender,달력,NOUN
chicken,pollo,鷄,ayam,닭,NOUN
chicken/poultry,carne de pollo,鳥肉,ayam/unggas,닭고기,NOUN
to put,poner/coger,盛る/入れる,meletakkan,담다,VERB
cigarette,cigarrillo,タバコ,rokok,담배,NOUN
answer | to answer,respuesta; responder,返事 | 答える,jawaban/menjawab,대답 | 대답하다,NOUN | VERB
most,casi/la mayoría,大部分/大半,sebagian besar,대부분,NOUN
instead (of),en vez de,代わり (に),daripada,대신,NOUN/ADV
president,presidente,大統領,presiden,대통령,NOUN
college/university,universidad/facultad,大学,perguruan tinggi/universitas,대학,NOUN
university student,universitario,大学生,mahasiswa,대학생,NOUN
talk/conversation,charla/conversación/diálogo,対話,bicara/Percakapan,대화,NOUN
home/house (honorific of 집),residencia (casa de una persona superior),お宅,rumah (sebutan penghormatan pada 집),댁,NOUN
more,más,もっと,lagi,더,ADV
to throw,lanzar/tirar,投げる,melempar,던지다,VERB
to be hot,(hacer) calor ,暑い,panas,덥다,ADJ
library,biblioteca,図書館,perpustakaan,도서관,NOUN
city,ciudad,都市,kota,도시,NOUN
help ,ayuda,助け ,bantuan,도움,NOUN
arrival | to arrive,arrivo | arrivar,到着 | 到着する,kedatangan; datang,도착 | 도착하다,NOUN | VERB
money,dinero,お金,uang,돈,NOUN
to turn/to rotate,dar vuelta/rotar/girar,回る/曲がる,berbelok/memutar,돌다,VERB
to turn/to spin,dar vuelta/girar,回す,berputar,돌리다,VERB
to return/to go back,retroceder,帰る,kembali,돌아가다,VERB
to return/to come back,regresar/volver,帰って来る/戻る,kembali,돌아오다,VERB
to help,ayudar,手伝う,membantu,돕다,VERB
village/neighborhood,aldea/vencindario/barrio,町内,desa; lingkungan,동네,NOUN
animal,animal,動物,binatang,동물,NOUN
younger sibling,hermano,弟 or 妹,adik,동생,NOUN
during/while,durante/mientras,間,selama,동안,NOUN
east ,este,東,timur,동쪽,NOUN
pig,cerdo,豚,babi,돼지,NOUN
pork,carne de cerdo,豚肉,daging babi,돼지고기,NOUN
to become,convertir,(に)なる,menjadi,되다,VERB
to put/to set,poner,置く,meletakkan,두다,VERB
back,atrás/posterior,後,belakang,뒤,NOUN
to give (humble word of 주다),dar (término utilizado a un superior),差し上げる,memberi (kata sederhana dari주다),드리다,VERB
to hear/to listen,escuchar/oir,聞く,mendengarkan,듣다,VERB
to take/to cost,costar/tomar (tiempo),かかる,menghabiskan,들다 ,VERB
to raise/to hold,levantar/subir,持つ; 上げる,mengangkat/memegang,들다 ,VERB
to be heard/to sound,sonar,聞こえる,terdengar/bersuara,들리다,VERB
to enter/to go into,entrar,入る,masuk,들어가다,VERB
to enter/to come into,entrar/venir,入る/入ってくる,masuk,들어오다,VERB
back,espalda,背,punggung,등,NOUN
hiking/climbing | to climb,ir a escalar; escalar,山登り | 山登る,mendaki,등산 | 등산하다,NOUN | VERB
to be warm,es caluroso,暖かい,hangat,따뜻하다,ADJ
daughter,hija,娘,anak perempuan,딸,NOUN
strawberry,frutilla,いちご,stroberi,딸기,NOUN
land/ground,tierra ,土地,tanah,땅,NOUN
the time,vez,時,waktu/saat,때,NOUN
because/because of,debido/por,(の)ため/(の)わけ/(の)せい,karena/(oleh) karena,때문,NOUN
to leave,ir/dejar,去る/出る/発つ,berangkat/meninggalkan,떠나다,VERB
to rise up; to occur,ocurrir,浮かぶ/浮く,muncul; terpikir,떠오르다,VERB
rice cake,torta de arroz,餠,kue beras,떡,NOUN
again,otra vez/nuevamente,また,lagi,또,ADV
to be the same/to be equal,igual/semejante,まったく同じだ,sama/setara,똑같다,ADJ
straight; correctly/clearly,recto/correcto,真っすぐ (に); しゃんと; はっきり,tegak; benar.jelas,똑바로,ADV
to run,correr,走る,berlari,뛰다,VERB
to be hot,caliente,熱い,panas,뜨겁다,ADJ
meaning ,significar,意味,arti,뜻,NOUN
radio,radio,ラジオ,radio,라디오,NOUN
ramen (instant noodle),ramion,ラーメン,ramen (mi instant),라면,NOUN
Russia,Rusia,ロシア, Rusia,러시아,NOUN
unit of counting animals,unidad para contar animales,匹,ekor (satuan untuk menghitung hewan),마리,NOUN
to drink,beber,飲む,minum,마시다,VERB
mind/heart,alma/opinión,心,pikiran/hati,마음,NOUN
the last,último/final,終り/最後,terakhir,마지막,NOUN
to end/to finish,acabar/terminar/finalizar,終える,menyelesaikan,마치다,VERB
to block,bloquear/tapar,防ぐ,menghalangi,막다,VERB
to meet,encontrarse (con) ,会う,bertemu,만나다,VERB
to make,hacer/crear,作る,membuat,만들다,VERB
to be many/to be much,haber mucho,多い,banyak ,많다,ADJ
much/a lot,mucho,多く/たくさん,banyak,많이,ADV
horse,caballo,馬,kuda,말 ,NOUN
word/speech | to say,decir/hablar,言葉 | 言う,,말  | 말하다,NOUN | VERB
to stop; do not/must not (in imperative sentences),parar/dejar,やめる/しないで,berhenti,말다,VERB
word/speech (honorific of 말) | to say,palabra; decir/hablar,お話 | おっしゃる,kata/pidatosebutan penghormatan untuk 말); berkata,말씀 | 말씀하다,NOUN | VERB
to be clear/to be pure,claro/puro,清い,bersih,맑다,ADJ
taste/flavor,sabor,味,rasa,맛,NOUN
to taste bad,mal gusto/feo,まずい,tidak enak,맛없다,ADJ
to be delicious,delicioso/rico,おいしい,enak,맛있다,ADJ
to be right/to be correct,(estar)correcto/exacto,合う/正しい; 当たる,benar,맞다,ADJ/VERB
to adjust,ajustar,合わせる,meyesuaikan,맞추다,VERB
to guess correctly/to give a correct answer,conjeturar/adivinar,当てる,menebak/jawaban benar,맞히다,VERB
to take care of/to take on,tomar/hacerse cargo de...,引き受ける,menangani,맡다,VERB
very,muy,非常に/とても,sangat/sekali,매우,ADV
everyday,diario/todos los días,毎日,setiap hari,매일,NOUN/ADV
beer,tomar (bebida),ビール,bir,맥주,NOUN
to be spicy/to be hot,picante,辛い,pedas,맵다,ADJ
head; brain; hair,cabeza/cabello,頭; 髪,kepala;otak;rambut,머리,NOUN
to eat ,comer,食べる,makan,먹다,VERB
first/earlier,primero/temprano,先に,pertama/dulu (an)/lebih awal,먼저,ADV
to be far,estar lejos,遠い,jauh,멀다,ADJ
far/far away,lejos,遠く,jauh/jauh sekali,멀리,ADV
menu,menu,メニュー,menu,메뉴,NOUN
a few days; date,algunos días/fecha,何日; 数日,beberapa hari;tanggal,며칠,NOUN
person (unit of counting peolple),unidad para contar personas,名/人,orang (satuan untuk menghitung orang),명,NOUN
some/several; how many/how old,varias,いくつ/何,beberapa; berapa banyak/berapa tahun,몇,DET
all,todos,皆,semua,모두,NOUN/ADV
all/every,todo,あらゆる/すべての,semua/setiap,모든,DET
not to know,desconocer/no saber/no conocer,分からない/知らない,tidak mengenal,모르다,VERB
figure/form,figura/forma,姿,sosok/bentuk,모습,NOUN
shape/form,forma/estructura,模様/形,bentuk,모양,NOUN
to gather/to collect,recoger/juntar,集める,berkumpul/mengumpulkan,모으다,VERB
to gather/to come together,juntar/reunir,集る,berkumpul/berkumpul bersama,모이다,VERB
meeting,reunión,集まり,pertemuan/rapat,모임,NOUN
hat/cap,casquillo/sombrero,帽子,topi,모자,NOUN
neck,cuello,首/喉,leher,목,NOUN
voice,voz,声,suara,목소리,NOUN
bath | to take a bath,baño; bañar,お風呂 | 風呂に入る,mandi,목욕 | 목욕하다,NOUN | VERB
purpose/object,propósito/meta,目的,tujuan,목적,NOUN
body,cuerpo,身/体,tubuh,몸,NOUN
(can) not,no (poder),(でき)ない,tidak (dapat),못,ADV
not to be able; to be poor,no poder,できない; 下手だ,tidak dapat; kurang pandai,못하다,VERB/ADJ
to be heavy,pesado,重い,berat,무겁다,ADJ
to be scary; to be scared,dar miedo/asustar,恐ろしい; 怖い,menakutkan/takut,무섭다,ADJ
what/what kind of,qué ,何/何の,apa/macam apa,무슨,DET
what ,cuál,何,apa,무엇,NOUN
door,puerta ,門/ドア,pintu,문,NOUN
question/problem,pregunta/problema,問題,pertanyaan/masalah,문제,NOUN
culture,cultura,文化,kebudayaan,문화,NOUN
to ask,preguntar/pedir ,問う/尋ねる,bertanya,묻다,VERB
water,agua,水,air,물,NOUN
thing/stuff,material/cosa,品物/物,barang/bahan,물건,NOUN
of course,por suepuesto,勿論,tentu saja,물론,NOUN/ADV
to ask,preguntar,聞く/尋ねる,bertanya,물어보다,VERB
the United States of America,Estados Unidos,アメリカ,Amerika Serikat (A.S.),미국,NOUN
to be sorry,perdonar,すまない,menyesal,미안하다,ADJ
meter,metros,メートル,meter,미터,NOUN
to believe,creer,信じる,mempercayai,믿다,VERB
the bottom/the lower part,fondo/debajo/abajo,下,dasar,밑,NOUN
to change,cambiar,変える,mengganti,바꾸다,VERB
to change/to be changed,ser cambiado/remodelado,変わる,mengganti/berubah,바뀌다,VERB
sea,mar/playa,海,laut,바다,NOUN
to wish/to hope/to want ,esperar/desear,願がう/望む,ingin/beharap/mau,바라다,VERB
to look (at),mirar,眺める/見詰める,memandang,바라보다,VERB
wind,viento/briza,風,angin,바람 ,NOUN
(-에) because of/due to,debido (a)/por,おがげ,(-에) (oleh) karena/disebabkan,바람 ,NOUN
straight; right away,enseguida/rápido/ya,すぐに,langsung,바로,ADV
to be busy,estar ocupado,忙しい,sibuk,바쁘다,ADJ
pants,pantalones,ズボン,celana panjang,바지,NOUN
museum,museo,博物館,museum,박물관,NOUN
outside,afuera/exterior,外,diluar,밖,NOUN
half,mitad,半/半分,setengah,반 ,NOUN
class,clase,クラス,kelas,반 ,NOUN
to be glad,alegre/conforme,嬉しい,senang,반갑다,ADJ
the opposite,opuesto,反対, kebalikan,반대,NOUN
to get/to take ,conseguir/recibir,受ける, mendapat,받다,VERB
to accept/to take,tomar/aceptar,受け入れる/受け取りる,menerima,받아들이다,VERB
foot,pie,足,kaki,발,NOUN
to develop/to grow,evolucionar/progresar,発達する,berkembang/tumbuh,발달하다,VERB
occurrence | to occur,ocurrir/imaginar,発生 | 発生する,kejadian; terjadi,발생 | 발생하다,NOUN | VERB
pronunciation,pronunciación,発音,pengucapan,발음,NOUN
to be bright ,ser brillante/iluminoso,明るい,terang,밝다,ADJ
night,noche,夜,malam,밤,NOUN
steamed rice,arroz,ご飯,nasi,밥,NOUN
room,cuarto/cabina,部屋,ruangan,방,NOUN
way/means,manera/estrategia,方法,jalan/cara/bearti,방법,NOUN
vacation,vacación,休み,liburan,방학,NOUN
stomach/belly,estómago/barriga,腹/おなか,perut,배 ,NOUN
boat/ship,nave/barco/bote,船,kapal,배 ,NOUN
pear ,pera,梨,buah per,배 ,NOUN
to be hungry,estar hambriento/tener hambre,お腹が空く,lapar,배고프다,ADJ
to be full,estar completo,お腹がいっぱいだ,kenyang,배부르다,ADJ
to learn,aprender,学ぶ/習う,,배우다,VERB
department store,almacén grande,デパート,toko serba ada,백화점,NOUN
to throw away,lanzar/tirar,捨てる,membuang,버리다,VERB
bus,autobús,バス,bis,버스,NOUN
time/occasion,veces,番/回/度,waktu/kali/kesempatan,번,NOUN
number,número,番号,angka,번호,NOUN
to make (money)/to earn (money),hacer (dinero)/ganar (dinero),稼ぐ,bekerja,벌다,VERB
already,ya,もう,sudah,벌써,ADV
law ,ley,法,peraturan,법,NOUN
to take off/to undress,sacar/desprender,脱ぐ,melepas/membuka/menanggalkan,벗다,VERB
to change/to vary,cambiar/transformar,変わる ,berubah,변하다 ,VERB
star,estrella,星,bintang,별,NOUN
not really/not good,no bueno,別に/あまり,tidak terlalu/tidak baik ,별로,ADV
bottle/jar,botella,甁/本,botol,병 ,NOUN
disease/illness,enfermedad,病気,penyakit,병 ,NOUN
hospital/clinic,hospital/clínica,病院,rumah sakit/klinik,병원,NOUN
to send,mandar/enviar,送る,mengirim,보내다,VERB
to see/to watch/to look at,mirar/ver,見る,melihat/menonton memandang,보다 ,VERB
more,más ,より,lebih,보다 ,ADV
to be seen/to look,ser visto/parecer,見える,terlihat,보이다,VERB
ordinary; usually,usual,普通,biasa; biasanya,보통,NOUN/ADV
protection | to protect,protección; protejer,保護 | 保護する,perlindungan; melindungi,보호 | 보호하다,NOUN | VERB
to be complicated,complicado,複雑だ,menjadi Rumit,복잡하다,ADJ
ballpoint pen,bolígrafo,ボールペン,bolpoin,볼펜,NOUN
spring ,resorte/primavera,春,musim semi,봄,NOUN
to be soft/to be smooth,suave/cremoso,柔らかい,lembut/halus,부드럽다,ADJ
